mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
Rudolf Wille,"['mathematician', 'university teacher']",['Germany'],Free Hanseatic City of Bremen,22-Jan-17,NULL,['Technische Universität Darmstadt'],['Bickenbach'],NULL,['Technische Universität Darmstadt'],NULL,['German'],NULL,NULL,NULL,NULL,['Formal concept analysis'],NULL,NULL,['human'],['male'],FALSE,2,November,1937,FALSE,22,January,2017,
Abe Sklar,['mathematician'],['United States of America'],NULL,NULL,['California Institute of Technology'],['Illinois Institute of Technology'],NULL,NULL,['Illinois Institute of Technology'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
László Filep,['mathematician'],['Hungary'],Császló,19-Nov-04,NULL,NULL,['Budapest'],NULL,NULL,"['Barna Szénássy', 'Lajos Tamássy']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,6,December,1941,FALSE,19,November,2004,
B. R. Bhat,['statistician'],['India'],NULL,NULL,"['University of California, Berkeley']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Richard P. Stanley,"['mathematician', 'university teacher']",['United States of America'],New York City,NULL,['Harvard University'],['Massachusetts Institute of Technology'],NULL,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']",['Massachusetts Institute of Technology'],['Gian-Carlo Rota'],['English'],NULL,NULL,NULL,NULL,['combinatorics'],"['Rolf Schock Prize in Mathematics', '2003']",['2±0'],['human'],['male'],FALSE,23,June,1944,FALSE,NULL,NULL,NULL,
Hal Abelson,"['mathematician', 'computer scientist', 'engineer', 'artificial intelligence researcher']",['United States of America'],NULL,NULL,"['Princeton University', 'Massachusetts Institute of Technology']",['Massachusetts Institute of Technology'],NULL,['Institute of Electrical and Electronics Engineers'],['Massachusetts Institute of Technology'],['Dennis Sullivan'],['English'],NULL,['Mitchel Resnick'],NULL,NULL,['informatics'],NULL,['3±0'],['human'],['male'],FALSE,26,April,1947,FALSE,NULL,NULL,NULL,
Gaetano Fichera,"['mathematician', 'historian of mathematics', 'university teacher']",['Italy'],Acireale,1-Jun-96,NULL,NULL,['Rome'],"['German Academy of Sciences Leopoldina', 'Lincean Academy', 'Russian Academy of Sciences']",NULL,['Mauro Picone'],['Italian'],NULL,NULL,NULL,NULL,"['mathematical analysis', 'partial differential equation']",['Feltrinelli Prize'],NULL,['human'],['male'],FALSE,8,February,1922,FALSE,1,June,1996,
Willard Van Orman Quine,"['mathematician', 'analytic philosopher', 'philosopher of language', 'epistemologist', 'philosopher of science', 'university teacher', 'professor', 'philosopher']",['United States of America'],Akron,25-Dec-00,"['Harvard University', 'Oberlin College']","['Harvard University', 'Wesleyan University']",['Boston'],['American Academy of Arts and Sciences'],"['Harvard University', 'Wesleyan University']",['Alfred North Whitehead'],['English'],NULL,NULL,NULL,NULL,"['model theory', 'set theory', 'ontology']","['Rolf Schock Prize in Logic and Philosophy', '1993']",NULL,['human'],['male'],FALSE,25,June,1908,FALSE,25,December,2000,
Kazuhiko Aomoto,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Takuro Shintani,['mathematician'],NULL,NULL,11/14/1980,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,4,February,1943,FALSE,14,November,1980,
William Emerson (mathematician),['mathematician'],NULL,NULL,20 May 1782,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,14,May,1701,FALSE,20,May,1782,
Wallace Givens,"['mathematician', 'computer scientist']",['United States of America'],NULL,5-Mar-93,NULL,['Wayne State University'],NULL,NULL,['Wayne State University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,14,December,1910,FALSE,5,March,1993,
Ieke Moerdijk,"['mathematician', 'university teacher']",['Kingdom of the Netherlands'],Veenendaal,NULL,"['University of Amsterdam', 'mathematics', 'philosophy', 'general linguistics']","['Utrecht University', '20 May 1996', '1 September 2011', 'university teacher', 'Radboud University Nijmegen', '1 November 2011', 'university teacher']",NULL,"['Academia Europaea', '2014', 'Royal Netherlands Academy of Arts and Sciences', '2006']","['Utrecht University', '20 May 1996', '1 September 2011', 'university teacher', 'Radboud University Nijmegen', '1 November 2011', 'university teacher']",['Anne Sjerp Troelstra'],NULL,"['doctoral degree', '20 November 1985', 'University of Amsterdam']",NULL,NULL,NULL,NULL,"['Spinoza Prize', '2012', 'Q18043370', '2011']",NULL,['human'],['male'],FALSE,23,January,1958,FALSE,NULL,NULL,NULL,
Shigeo Sasaki,['mathematician'],['Japan'],NULL,8/14/1987,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,18,November,1912,FALSE,14,August,1987,
Jaroslav Nešetřil,"['mathematician', 'educator', 'university teacher']",['Czech Republic'],Brno,NULL,['Charles University in Prague'],NULL,NULL,"['Academia Europaea', 'North Rhine-Westphalia Academy for Sciences and Arts']",NULL,['Gert Sabidussi'],['Czech'],['professor'],NULL,NULL,NULL,"['combinatorics', 'graph theory']","['Medal of Merit', 'Q12053292', '28 October 2010']",['1±0'],['human'],['male'],FALSE,13,March,1946,FALSE,NULL,NULL,NULL,
David Lowery (musician),"['singer', 'mathematician', 'singer-songwriter']",['United States of America'],San Antonio,NULL,NULL,['University of Georgia'],NULL,NULL,['University of Georgia'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,10,September,1960,FALSE,NULL,NULL,NULL,
Eckhard Meinrenken,['mathematician'],"['Canada', 'Germany']",NULL,NULL,NULL,['University of Toronto'],NULL,NULL,['University of Toronto'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],TRUE,NULL,NULL,1900,FALSE,NULL,NULL,NULL,
Thomas William Körner,"['mathematician', 'university teacher']",['United Kingdom'],NULL,NULL,['Trinity Hall'],NULL,NULL,NULL,NULL,['Nicholas Varopoulos'],['English'],NULL,NULL,NULL,NULL,['mathematical analysis'],"['Salem Prize', '1972']",['2±0'],['human'],['male'],FALSE,17,February,1946,FALSE,NULL,NULL,NULL,
Philibert Babou,"['cryptographer', 'engineer', 'politician']",['France'],NULL,1557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['maire'],NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,1557,
Gustav de Vries,['mathematician'],['Kingdom of the Netherlands'],Amsterdam,12/16/1934,['University of Amsterdam'],['University of Amsterdam'],['Haarlem'],NULL,['University of Amsterdam'],['Diederik Korteweg'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,22,January,1866,FALSE,16,December,1934,
Khairulla Murtazin,['mathematician'],['Soviet Union'],Bashkir Autonomous Soviet Socialist Republic,17-Nov-16,NULL,NULL,['Ufa'],NULL,NULL,['Mark Naimark'],NULL,NULL,NULL,NULL,NULL,"['differential equation', 'Schrödinger equation']",NULL,NULL,['human'],['male'],FALSE,4,January,1941,FALSE,17,November,2016,
Igor Shelushkov,['mathematician'],NULL,Nizhny Novgorod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Goro Azumaya,"['mathematician', 'university teacher']",['Japan'],Yokohama,8-Jul-10,['Nagoya University'],"['Nagoya University', 'Hokkaido University']",['Bloomington'],NULL,"['Nagoya University', 'Hokkaido University']",['Shokichi Iyanaga'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,26,February,1920,FALSE,8,July,2010,
Nicolas-François Canard,"['economist', 'mathematician', 'philosopher']",['France'],Sézanne,1833,NULL,NULL,['Moulins'],['Royal Swedish Academy of Sciences'],NULL,NULL,['French'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,2,December,1754,FALSE,NULL,NULL,1833,
Matthias Aschenbrenner,['mathematician'],['United States of America'],NULL,NULL,NULL,"['University of California, Los Angeles']",NULL,['American Mathematical Society'],"['University of California, Los Angeles']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,NULL,NULL,1972,FALSE,NULL,NULL,NULL,
Wolfgang Rautenberg,"['mathematician', 'author', 'philosopher', 'university teacher']",['Germany'],Potsdam,4-Sep-11,NULL,['Free University of Berlin'],['Berlin'],NULL,['Free University of Berlin'],NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,27,February,1936,FALSE,4,September,2011,
Feza Gürsey,"['mathematician', 'physicist', 'university teacher', 'scientist', 'theoretical physicist']",['Turkey'],Istanbul,13-Apr-92,"['Imperial College London', 'Galatasaray High School', '1940', 'Istanbul University', '1944', 'University of Cambridge', '1951', '1950']","['Yale University', 'Columbia University']",['New Haven'],['American Academy of Arts and Sciences'],"['Yale University', 'Columbia University']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Commendatore', '1984', 'Wigner Medal', '1986', 'J. Robert Oppenheimer Memorial Prize', '1977']",NULL,['human'],['male'],FALSE,7,April,1921,FALSE,13,April,1992,
Pavel Urysohn,"['mathematician', 'topologist']",['Russia'],Odessa,17-Aug-24,['Moscow State University'],['Moscow State University'],['Batz-sur-Mer'],NULL,['Moscow State University'],['Nikolai Luzin'],NULL,NULL,NULL,['accident'],NULL,"['topology', 'differential equation', 'geometry']",NULL,NULL,['human'],['male'],FALSE,22,January,1898,FALSE,17,August,1924,
Erich Hecke,"['mathematician', 'university teacher']",['Germany'],Poznań,13-Feb-47,NULL,"['University of Hamburg', 'University of Göttingen', 'University of Basel']",['Copenhagen'],['German Academy of Sciences Leopoldina'],"['University of Hamburg', 'University of Göttingen', 'University of Basel']",['David Hilbert'],['Polish'],['Doctor of Philosophy'],NULL,NULL,NULL,['number theory'],NULL,NULL,['human'],['male'],FALSE,20,September,1887,FALSE,13,February,1947,
Étienne Laspeyres,"['economist', 'statistician', 'university teacher']",['Germany'],Halle,4-Aug-13,NULL,"['University of Tartu', 'University of Basel', 'Karlsruhe Institute of Technology', 'Riga Technical University']",['Gießen'],NULL,"['University of Tartu', 'University of Basel', 'Karlsruhe Institute of Technology', 'Riga Technical University']",NULL,['German'],NULL,NULL,NULL,NULL,['statistics'],NULL,NULL,['human'],['male'],FALSE,28,November,1834,FALSE,4,August,1913,
Michael Christopher Wendl,['bioinformatician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Ramesh K. Agarwal'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Plato Tiburtinus,"['astronomer', 'mathematician', 'translator']",NULL,Tivoli,1145,NULL,NULL,NULL,NULL,NULL,NULL,['Latin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1110,FALSE,NULL,NULL,1145,
Edmond Laguerre,"['mathematician', 'professor']",['France'],Bar-le-Duc,14 August 1886,['École Polytechnique'],"['Collège de France', 'professor', '1886', '1883']",['Bar-le-Duc'],['French Academy of Sciences'],"['Collège de France', 'professor', '1886', '1883']",NULL,['French'],NULL,NULL,NULL,NULL,NULL,"['Poncelet Prize', '1877']",NULL,['human'],['male'],FALSE,9,April,1834,FALSE,14,August,1886,
Charles Julien Brianchon,['mathematician'],['France'],Sèvres,29 April 1864,['École Polytechnique'],NULL,['Versailles'],NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,19,December,1783,FALSE,29,April,1864,
Imre Simon,"['mathematician', 'computer scientist']",['Brazil'],Budapest,13-Aug-09,NULL,['University of São Paulo'],['São Paulo'],NULL,['University of São Paulo'],['Janusz Brzozowski'],NULL,NULL,NULL,['natural causes'],NULL,NULL,"['Prêmio Jabuti', 'Great Cross of the National Order of Scientific Merit']",NULL,['human'],['male'],FALSE,14,August,1943,FALSE,13,August,2009,
Leon (mathematician),['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Maria Assumpció Català i Poch,"['mathematician', 'astronomer', 'professor']",['Spain'],Barcelona,3-Jul-09,NULL,['University of Barcelona'],['Barcelona'],NULL,['University of Barcelona'],NULL,"['Catalan', 'Spanish']",NULL,NULL,NULL,NULL,NULL,"['Creu de Sant Jordi', '2009']",NULL,['human'],['female'],FALSE,NULL,NULL,1925,FALSE,3,July,2009,
Pierre Petit (engineer),"['astronomer', 'physicist', 'mathematician']",['France'],Montluçon,20 August 1677,NULL,NULL,['Lagny-sur-Marne'],['Royal Society'],NULL,NULL,['French'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,31,December,1597,FALSE,20,August,1677,
Henry Dudeney,"['mathematician', 'chess player']",['United Kingdom'],Mayfield and Five Ashes,23-Apr-30,NULL,NULL,['Lewes'],NULL,NULL,NULL,NULL,NULL,NULL,['natural causes'],NULL,NULL,NULL,NULL,['human'],['male'],FALSE,10,April,1857,FALSE,23,April,1930,
Konrad Jörgens,"['mathematician', 'university teacher']",['Germany'],Krefeld,28-Apr-74,NULL,['Heidelberg University'],NULL,NULL,['Heidelberg University'],NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,3,December,1926,FALSE,28,April,1974,
Neil Garrod,[''],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Giovanni Battista Zupi,"['astronomer', 'mathematician']",NULL,Catanzaro,1650,NULL,NULL,['Naples'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1590,FALSE,NULL,NULL,1650,
Jan Mikołaj Smogulecki,"['mathematician', 'astronomer', 'explorer']",['Poland'],NULL,1656,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Q28934332'],NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1610,FALSE,NULL,NULL,1656,
Isaak Yaglom,['mathematician'],['Soviet Union'],Kharkiv,17-Apr-88,['Ural State University'],['Moscow State University'],['Moscow'],NULL,['Moscow State University'],['Boris Delaunay'],NULL,['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,"['geometry', 'history of mathematics']",NULL,NULL,['human'],['male'],FALSE,6,March,1921,FALSE,17,April,1988,
Michael F. Shlesinger,['physicist'],['United States of America'],Brooklyn,NULL,"['University of Rochester', 'Stony Brook University']",NULL,NULL,['American Physical Society'],NULL,['Elliott Waters Montroll'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,8,August,1948,FALSE,NULL,NULL,NULL,
Hermann Schubert,['mathematician'],['Germany'],Potsdam,7/20/1911,['Humboldt University of Berlin'],NULL,['Hamburg'],['German Academy of Sciences Leopoldina'],NULL,NULL,NULL,['doctoral degree'],NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,22,May,1848,FALSE,20,July,1911,
James G. Oldroyd,"['mathematician', 'university teacher']",NULL,NULL,22-Nov-82,['Trinity College'],"['University of Liverpool', 'Courtaulds']",['Liverpool'],NULL,"['University of Liverpool', 'Courtaulds']",NULL,NULL,NULL,NULL,NULL,NULL,"['rheology', 'viscoelasticity']",['Adams Prize'],NULL,['human'],['male'],FALSE,NULL,NULL,1921,FALSE,22,November,1982,
Georg Feigl,"['mathematician', 'topologist', 'university teacher']",['Germany'],Hamburg,20-Apr-45,['University of Jena'],NULL,['Wechselburg'],NULL,NULL,['Paul Koebe'],['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,October,1890,FALSE,20,April,1945,
Jason Behrstock,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,['American Mathematical Society'],NULL,['Yair Minsky'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Elżbieta Pleszczyńska,"['statistician', 'mathematician']",NULL,Wola Wydrzyna,NULL,['University of Warsaw'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,20,March,1933,FALSE,NULL,NULL,NULL,
Joseph Caldwell,['mathematician'],['United States of America'],Lamington,27 January 1835,['Princeton University'],NULL,['Chapel Hill'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,21,April,1773,FALSE,27,January,1835,
Larry Wos,"['mathematician', 'computer scientist']",['United States of America'],Chicago,NULL,"['University of Illinois system', 'University of Chicago', 'University of Illinois at Urbana–Champaign']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Herbrand Award', '1992']",NULL,['human'],['male'],FALSE,NULL,NULL,1930,FALSE,NULL,NULL,NULL,
Donald McIntosh (mathematician),['mathematician'],NULL,Banffshire,7/1/1957,['University of Aberdeen'],NULL,['Inverness-shire'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,January,1868,FALSE,1,July,1957,
Jakša Cvitanić,['mathematician'],['United States of America'],NULL,NULL,['Columbia University'],"['University of Southern California', 'California Institute of Technology']",NULL,NULL,"['University of Southern California', 'California Institute of Technology']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,26,February,1962,FALSE,NULL,NULL,NULL,
Robert Wood (mathematician),['mathematician'],NULL,NULL,1685,"['Eton College', 'Merton College']",NULL,NULL,['Royal Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,NULL,NULL,1622,FALSE,NULL,NULL,1685,
Karel Zahradnik,"['mathematician', 'educator']",NULL,Litomyšl,23-Apr-16,NULL,['University of Zagreb'],['Prague'],NULL,['University of Zagreb'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Order of Franz Joseph'],NULL,['human'],['male'],FALSE,16,April,1848,FALSE,23,April,1916,
Svetlana Jitomirskaya,['mathematician'],"['United States of America', 'Russia']",Kharkiv,NULL,NULL,"['University of California, Irvine', '2000']",NULL,NULL,"['University of California, Irvine', '2000']",['Yakov Sinay'],NULL,NULL,NULL,NULL,NULL,NULL,"['Ruth Lyttle Satter Prize in Mathematics', '2005']",NULL,['human'],['female'],FALSE,4,June,1966,FALSE,NULL,NULL,NULL,
Marie-Louise Michelsohn,['mathematician'],['United States of America'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,8,October,1941,FALSE,NULL,NULL,NULL,
Shreeram Shankar Abhyankar,"['mathematician', 'university teacher']",['United States of America'],Ujjain,2-Nov-12,['Harvard University'],['Purdue University'],['West Lafayette'],"['American Mathematical Society', 'Indian Academy of Sciences']",['Purdue University'],['Oscar Zariski'],['English'],NULL,['Tzuong-Tsieng Moh'],NULL,NULL,['algebraic geometry'],NULL,['2±0'],['human'],['male'],FALSE,22,July,1930,FALSE,2,November,2012,
Linda J. S. Allen,"['mathematician', 'university teacher']",['United States of America'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['doctoral degree'],NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],TRUE,NULL,NULL,1900,FALSE,NULL,NULL,NULL,
Penelope Maddy,"['mathematician', 'philosopher', 'university teacher']",['United States of America'],Tulsa,NULL,['Princeton University'],"['University of California, Irvine']",NULL,['American Academy of Arts and Sciences'],"['University of California, Irvine']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Gauss Lectureship', '2006', 'Lakatos Award', '2002']",NULL,['human'],['female'],FALSE,4,July,1950,FALSE,NULL,NULL,NULL,
